,Country,Code,Year,Years
1,Afghanistan,AFG,2020,5.69
36,Africa,,2020,6.6818657
71,Albania,ALB,2020,10.32
106,Algeria,DZA,2020,8.18
141,Argentina,ARG,2020,9.86
176,Armenia,ARM,2020,10.54
182,Asia,,2020,8.571011
217,Australia,AUS,2020,12.93
252,Austria,AUT,2020,10.39
287,Bahrain,BHR,2020,8.21
293,Bangladesh,BGD,2020,7.23
328,Barbados,BRB,2020,9.67
363,Belgium,BEL,2020,11.57
398,Belize,BLZ,2020,10.71
433,Benin,BEN,2020,6.27
468,Bolivia,BOL,2020,9.06
503,Botswana,BWA,2020,10.58
509,Brazil,BRA,2020,8
544,Brunei,BRN,2020,9.28
550,Bulgaria,BGR,2020,10.75
585,Burundi,BDI,2020,5.05
591,Cambodia,KHM,2020,5.81
626,Cameroon,CMR,2020,7.37
661,Canada,CAN,2020,12.93
696,Central African Republic,CAF,2020,4.64
702,Chile,CHL,2020,10.74
737,China,CHN,2020,8.99
772,Colombia,COL,2020,10.2
807,Congo,COG,2020,6.74
813,Costa Rica,CRI,2020,9.12
848,Cote d'Ivoire,CIV,2020,6.05
883,Croatia,HRV,2020,12.03
889,Cuba,CUB,2020,11.61
924,Cyprus,CYP,2020,12.42
959,Czechia,CZE,2020,12.93
994,Democratic Republic of Congo,COD,2020,4.85
1029,Denmark,DNK,2020,11.69
1064,Dominican Republic,DOM,2020,9.04
1099,Ecuador,ECU,2020,9.07
1134,Egypt,EGY,2020,8.01
1169,El Salvador,SLV,2020,8.1
1204,Estonia,EST,2020,12.29
1210,Eswatini,SWZ,2020,6.46
1245,Europe,,2020,11.9022875
1280,Fiji,FJI,2020,11.52
1315,Finland,FIN,2020,11.05
1350,France,FRA,2020,11.89
1385,Gabon,GAB,2020,10.18
1391,Gambia,GMB,2020,4.92
1426,Germany,DEU,2020,13.1
1461,Ghana,GHA,2020,8.39
1496,Greece,GRC,2020,11.86
1531,Guatemala,GTM,2020,6.26
1566,Guyana,GUY,2020,8.52
1601,Haiti,HTI,2020,5.95
1636,Honduras,HND,2020,7.51
1671,Hong Kong,HKG,2020,12.83
1706,Hungary,HUN,2020,11.96
1741,Iceland,ISL,2020,13.53
1776,India,IND,2020,7.8
1811,Indonesia,IDN,2020,9.06
1846,Iran,IRN,2020,9.8
1881,Iraq,IRQ,2020,8.27
1916,Ireland,IRL,2020,13.74
1951,Israel,ISR,2020,12.04
1957,Italy,ITA,2020,11.51
1992,Jamaica,JAM,2020,10.1
2027,Japan,JPN,2020,12.83
2062,Jordan,JOR,2020,10.81
2097,Kazakhstan,KAZ,2020,11.79
2103,Kenya,KEN,2020,6.73
2138,Kuwait,KWT,2020,6.62
2173,Kyrgyzstan,KGZ,2020,11.18
2179,Laos,LAO,2020,6.05
2185,Latvia,LVA,2020,11.96
2191,Lesotho,LSO,2020,6.88
2226,Liberia,LBR,2020,5.8
2261,Libya,LBY,2020,9.57
2296,Lithuania,LTU,2020,12.5
2302,Luxembourg,LUX,2020,11.53
2337,Macao,MAC,2020,10.97
2343,Malawi,MWI,2020,5.41
2378,Malaysia,MYS,2020,11.96
2413,Maldives,MDV,2020,8.06
2419,Mali,MLI,2020,3.55
2454,Malta,MLT,2020,12.09
2489,Mauritania,MRT,2020,5.55
2495,Mauritius,MUS,2020,10.4
2530,Mexico,MEX,2020,10.18
2565,Moldova,MDA,2020,10.84
2571,Mongolia,MNG,2020,10
2577,Morocco,MAR,2020,6.83
2612,Mozambique,MOZ,2020,4.22
2647,Myanmar,MMR,2020,6.48
2682,Namibia,NAM,2020,6.88
2688,Nepal,NPL,2020,6.19
2723,Netherlands,NLD,2020,11.82
2758,New Zealand,NZL,2020,10.81
2793,Nicaragua,NIC,2020,7.76
2828,Niger,NER,2020,3.04
2863,North America,,2020,11.858304
2898,Norway,NOR,2020,12.08
2933,Oceania,,2020,10.736105
2968,Pakistan,PAK,2020,6.41
3003,Panama,PAN,2020,10.44
3038,Papua New Guinea,PNG,2020,4.84
3044,Paraguay,PRY,2020,8.83
3079,Peru,PER,2020,9.96
3114,Philippines,PHL,2020,9.44
3149,Poland,POL,2020,12.01
3184,Portugal,PRT,2020,9.56
3219,Qatar,QAT,2020,8.52
3225,Reunion,REU,2020,8.71
3260,Romania,ROU,2020,11.28
3295,Russia,RUS,2020,11.6
3330,Rwanda,RWA,2020,5.24
3336,Saudi Arabia,SAU,2020,9.86
3342,Senegal,SEN,2020,4.4
3377,Serbia,SRB,2020,11.72
3412,Sierra Leone,SLE,2020,4.99
3447,Singapore,SGP,2020,13.06
3453,Slovakia,SVK,2020,13.14
3459,Slovenia,SVN,2020,12.06
3465,South Africa,ZAF,2020,10.47
3500,South America,,2020,8.909957
3535,South Korea,KOR,2020,13.68
3570,Spain,ESP,2020,11.51
3605,Sri Lanka,LKA,2020,10.33
3640,Sudan,SDN,2020,4.38
3675,Sweden,SWE,2020,11.93
3710,Switzerland,CHE,2020,12.97
3745,Syria,SYR,2020,7.92
3780,Taiwan,TWN,2020,12.76
3815,Tajikistan,TJK,2020,10.12
3821,Tanzania,TZA,2020,6.87
3827,Thailand,THA,2020,9.32
3862,Togo,TGO,2020,7.68
3897,Tonga,TON,2020,11.42
3903,Trinidad and Tobago,TTO,2020,11.28
3938,Tunisia,TUN,2020,9.29
3973,Turkey,TUR,2020,8.49
4008,Uganda,UGA,2020,6.69
4043,Ukraine,UKR,2020,10.82
4049,United Arab Emirates,ARE,2020,9.57
4055,United Kingdom,GBR,2020,12.9
4090,United States of America,USA,2020,13.32
4125,Uruguay,URY,2020,8.76
4160,Venezuela,VEN,2020,9.33
4195,Vietnam,VNM,2020,8.35
4201,World,OWID_WRL,2020,8.840671
4236,Yemen,YEM,2020,5.56
4271,Zambia,ZMB,2020,8.37
4306,Zimbabwe,ZWE,2020,8.32
